,state,sat_participation_2017,sat_english_reading_science_2017,sat_math_2017,sat_finalscore_2017,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_finalscore_2017,sat_participation_2018,sat_english_reading_science_2018,sat_math_2018,sat_finalscore_2018,act_participation_2018,act_english_2018,act_math_2018,act_reading_2018,act_science_2018,act_finalscore_2018
0,Alabama,5,593,572,1165,100,18.9,18.4,19.7,19.4,19.2,6,595,571,1166,100,18.9,18.3,19.6,19.0,19.1
1,Alaska,38,547,533,1080,65,18.7,19.8,20.4,19.9,19.8,43,562,544,1106,33,19.8,20.6,21.6,20.7,20.8
2,Arizona,30,563,553,1116,62,18.6,19.8,20.1,19.8,19.7,29,577,572,1149,66,18.2,19.4,19.5,19.2,19.2
3,Arkansas,3,614,594,1208,100,18.9,19.0,19.7,19.5,19.4,5,592,576,1169,100,19.1,18.9,19.7,19.4,19.4
4,California,53,531,524,1055,31,22.5,22.7,23.1,22.2,22.8,60,540,536,1076,27,22.5,22.5,23.0,22.1,22.7
5,Colorado,11,606,595,1201,100,20.1,20.3,21.2,20.9,20.8,100,519,506,1025,30,23.9,23.2,24.4,23.5,23.9
6,Connecticut,100,530,512,1041,31,25.5,24.6,25.6,24.6,25.2,100,535,519,1053,26,26.0,24.8,26.1,24.9,25.6
7,Delaware,100,503,492,996,18,24.1,23.4,24.8,23.6,24.1,100,505,492,998,17,23.7,23.1,24.5,23.4,23.2
8,District of Columbia,100,482,468,950,32,24.4,23.5,24.9,23.5,24.2,92,497,480,977,32,23.7,22.7,24.4,23.0,23.6
9,Florida,83,520,497,1017,73,19.0,19.4,21.0,19.4,19.8,56,550,549,1099,66,19.2,19.3,21.1,19.5,19.9
10,Georgia,61,535,515,1050,55,21.0,20.9,22.0,21.3,21.4,70,542,522,1064,53,20.9,20.7,21.2,21.4,21.4
11,Hawaii,55,544,541,1085,90,17.8,19.2,19.2,19.3,19.0,56,480,530,1010,89,18.2,19.0,19.1,19.0,18.9
12,Idaho,93,513,493,1005,38,21.9,21.8,23.0,22.1,22.3,100,508,493,1001,36,21.9,21.6,23.2,22.1,22.3
13,Illinois,9,559,556,1115,93,21.0,21.2,21.6,21.3,21.4,99,513,506,1019,43,24.1,23.4,24.2,23.4,23.9
14,Indiana,63,542,532,1074,35,22.0,22.4,23.2,22.3,22.6,63,542,532,1074,32,21.9,22.3,23.1,22.2,22.5
15,Iowa,2,641,635,1275,67,21.2,21.3,22.6,22.1,21.9,3,634,631,1265,68,21.0,21.2,22.5,22.0,21.8
16,Kansas,4,632,628,1260,73,21.1,21.3,22.3,21.7,21.7,4,633,631,1265,71,21.0,21.1,22.3,21.5,21.6
17,Kentucky,4,631,616,1247,100,19.6,19.4,20.5,20.1,20.0,4,630,618,1248,100,19.9,19.7,20.8,20.1,20.2
18,Louisiana,4,611,586,1198,100,19.4,18.8,19.8,19.6,19.5,4,615,595,1210,100,19.0,18.5,19.6,19.1,19.2
19,Maine,95,513,499,1012,8,24.2,24.0,24.8,23.7,24.3,99,512,501,1013,7,23.8,23.6,24.7,23.4,24.0
20,Maryland,69,536,524,1060,28,23.3,23.1,24.2,23.2,23.6,76,545,535,1080,31,22.1,22.0,23.1,22.2,22.5
21,Massachusetts,76,555,551,1107,29,25.4,25.3,25.9,24.7,25.4,80,562,563,1125,25,25.5,25.2,25.9,24.7,25.5
22,Michigan,100,509,495,1005,29,24.1,23.7,24.5,23.8,24.1,100,511,499,1011,22,24.5,23.9,24.7,23.9,24.4
23,Minnesota,3,644,651,1295,100,20.4,21.5,21.8,21.6,21.5,4,643,655,1298,99,20.2,21.4,21.7,21.4,21.3
24,Mississippi,2,634,607,1242,100,18.2,18.1,18.8,18.8,18.6,3,630,606,1236,100,18.2,18.1,18.9,18.6,18.6
25,Missouri,3,640,631,1271,100,19.8,19.9,20.8,20.5,20.4,4,633,629,1262,100,19.5,19.7,20.5,20.0,20.0
26,Montana,10,605,591,1196,100,19.0,20.2,21.0,20.5,20.3,10,606,592,1198,100,18.7,19.9,20.7,20.0,20.0
27,Nebraska,3,629,625,1253,84,20.9,20.9,21.9,21.5,21.4,3,629,623,1252,100,19.4,19.8,20.4,20.1,20.1
28,Nevada,26,563,553,1116,100,16.3,18.0,18.1,18.2,17.8,23,574,566,1140,100,16.6,17.8,18.0,17.9,17.7
29,New Hampshire,96,532,520,1052,18,25.4,25.1,26.0,24.9,25.5,96,535,528,1063,16,25.1,24.7,25.6,24.4,25.1
30,New Jersey,70,530,526,1056,34,23.8,23.8,24.1,23.2,23.9,82,547,547,1094,31,23.8,23.6,24.0,23.0,23.7
31,New Mexico,11,577,561,1138,66,18.6,19.4,20.4,20.0,19.7,16,552,540,1093,67,18.3,19.1,20.1,19.7,19.4
32,New York,67,528,523,1052,31,23.8,24.0,24.6,23.9,24.2,79,534,534,1068,27,24.2,24.2,24.9,24.2,24.5
33,North Carolina,49,546,535,1081,100,17.8,19.3,19.6,19.3,19.1,52,554,543,1098,100,18.0,19.3,19.5,19.2,19.1
34,North Dakota,2,635,621,1256,98,19.0,20.4,20.5,20.6,20.3,2,640,643,1283,98,19.1,20.3,20.7,20.5,20.3
35,Ohio,12,578,570,1149,75,21.2,21.6,22.5,22.0,22.0,18,552,547,1099,100,19.3,20.3,20.8,20.4,20.3
36,Oklahoma,7,530,517,1047,100,18.5,18.8,20.1,19.6,19.4,8,541,521,1062,100,18.4,18.8,20.1,19.4,19.3
37,Oregon,43,560,548,1108,40,21.2,21.5,22.4,21.7,21.8,48,564,553,1117,42,20.6,20.9,21.9,21.1,21.3
